,Friday_date,Monday_date,Friday_Open,Monday_Open,Friday_High,Monday_High,Friday_Low,Monday_Low,Friday_Close ,Monday_Close ,Friday_Adj Close ,Monday_Adj Close ,Friday_Volume,Monday_Volume,y
72,2020-07-31,2020-08-03,190.96,192.38,193.22,193.18,184.92,188.56,192.21,190.47,175.32,173.73,1746200,1224300,0
73,2020-08-07,2020-08-10,195.07,201.0,199.35,204.61,195.07,200.43,198.99,204.5,182.39,187.44,1375400,1942700,0
74,2020-08-14,2020-08-17,204.25,207.34,208.3,209.96,203.45,206.61,206.61,208.35,189.38,190.97,977800,998900,0
75,2020-08-21,2020-08-24,206.31,212.12,209.71,212.34,205.13,209.73,208.93,212.22,191.5,194.52,1573400,763600,0
76,2020-08-28,2020-08-31,213.45,214.84,215.37,217.0,212.58,212.34,215.03,212.53,197.1,194.8,677500,1151000,0
77,2020-09-11,2020-09-14,213.99,219.54,219.13,221.47,213.78,218.75,217.55,220.29,199.41,201.92,1720800,1516400,0
78,2020-09-18,2020-09-21,222.49,217.2,224.3,218.6,220.18,210.82,221.03,214.31,202.6,196.44,1770000,1279700,0
79,2020-09-25,2020-09-28,215.11,221.91,219.68,222.82,214.43,219.8,219.16,221.02,200.88,202.59,946900,1129900,0
80,2020-10-02,2020-10-05,208.98,215.51,216.01,216.59,208.17,214.29,212.66,215.16,194.92,197.21,2294700,1173300,0
81,2020-10-09,2020-10-12,219.5,219.85,219.62,221.38,216.24,216.93,218.39,217.23,200.18,199.11,730200,1265900,0
82,2020-10-16,2020-10-19,220.58,218.56,221.38,219.82,217.29,213.38,218.75,213.67,200.51,195.85,866200,1056400,0
83,2020-10-23,2020-10-26,213.5,212.57,216.27,212.61,213.5,208.92,215.4,210.66,197.43,193.09,801300,1158100,0
84,2020-10-30,2020-11-02,204.45,211.84,209.19,215.14,204.45,208.89,209.12,215.06,191.68,197.12,2214300,1740300,1
85,2020-11-06,2020-11-09,224.4,235.95,225.57,243.82,222.6,228.91,223.16,230.42,205.42,212.11,906000,1842600,0
86,2020-11-13,2020-11-16,231.04,241.34,239.96,247.25,231.04,240.71,239.26,246.77,220.24,227.16,1950100,1382300,0
87,2020-11-20,2020-11-23,242.15,243.33,243.87,244.45,240.25,239.74,240.8,242.85,221.66,223.55,810200,1601500,0
88,2020-11-27,2020-11-30,242.53,241.84,244.02,244.49,240.72,236.78,242.72,237.02,223.43,218.18,537200,2149000,0
89,2020-12-04,2020-12-07,237.69,239.0,240.38,240.2,237.69,237.13,240.19,239.06,221.1,220.06,906200,904300,0
90,2020-12-11,2020-12-14,234.89,236.98,237.3,237.04,234.35,228.9,235.25,229.25,216.55,211.03,1161200,2004900,0
91,2020-12-18,2020-12-21,230.75,228.24,233.03,231.64,228.82,226.09,232.39,230.14,213.92,211.85,2162200,891600,0
92,2021-01-08,2021-01-11,250.77,252.23,257.7,256.7,248.78,252.0,254.04,254.37,233.85,234.15,1563200,832200,0
93,2021-01-22,2021-01-25,245.03,242.26,245.63,246.48,240.68,240.08,244.22,245.96,224.81,226.41,1205500,1300700,0
94,2021-01-29,2021-02-01,239.43,238.24,242.34,241.11,236.1,237.92,236.62,239.91,217.81,220.84,1413100,928800,0
95,2021-02-05,2021-02-08,247.34,246.08,249.54,246.4,245.63,240.78,245.66,243.8,227.05,225.33,972400,919400,0
96,2021-02-19,2021-02-22,252.89,257.5,258.93,262.07,252.5,256.21,258.03,260.24,238.48,240.52,976100,1323400,0
97,2021-02-26,2021-03-01,255.28,255.59,257.21,260.01,251.41,254.8,252.06,257.83,232.96,238.29,1389300,1255300,0
98,2021-03-05,2021-03-08,247.23,257.33,257.2,264.86,243.16,255.83,256.0,259.22,236.6,239.58,1404800,995400,0
99,2021-03-12,2021-03-15,262.31,261.38,264.36,261.58,261.3,255.8,261.44,260.27,241.63,240.55,861900,983900,1
100,2021-03-19,2021-03-22,262.89,267.82,263.7,269.96,258.6,259.58,260.46,260.62,240.73,240.87,2112400,2261000,0
101,2021-03-26,2021-03-29,268.57,272.48,273.06,273.88,267.05,268.57,272.91,270.99,252.23,250.46,940000,826300,0
102,2021-04-09,2021-04-12,268.88,271.28,272.5,273.49,267.12,271.17,272.49,271.55,251.84,250.98,992400,917600,0
103,2021-04-16,2021-04-19,274.51,270.55,274.8,270.67,269.96,268.2,270.86,270.46,250.34,249.97,1484200,911800,0
104,2021-04-23,2021-04-26,279.63,282.56,283.12,285.12,278.59,280.93,282.0,281.14,260.63,259.84,836400,914200,0
105,2021-04-30,2021-05-03,280.37,281.51,281.09,284.84,276.93,281.36,279.24,283.06,258.08,261.61,1638900,813500,0
106,2021-05-07,2021-05-10,287.87,291.49,290.26,295.14,285.8,290.22,289.81,290.35,268.78,269.28,943600,933800,0
107,2021-05-14,2021-05-17,287.69,289.27,291.84,290.15,287.19,284.46,289.83,285.74,268.8,265.0,795900,993500,0
108,2021-05-21,2021-05-24,278.58,278.73,280.95,280.98,276.65,276.23,277.34,280.48,257.21,260.13,1179300,1295400,0
109,2021-06-04,2021-06-07,281.05,280.0,281.29,280.0,277.68,274.8,279.3,274.82,259.03,254.88,845300,927600,0
110,2021-06-11,2021-06-14,271.61,271.31,272.28,273.0,270.11,270.7,271.49,271.52,251.79,251.82,1172100,985000,0
111,2021-06-18,2021-06-21,263.53,263.01,264.81,266.67,261.31,263.01,261.43,264.76,242.46,245.55,1923100,1299600,0
112,2021-06-25,2021-06-28,266.03,266.66,267.84,266.7,265.26,263.0,265.85,263.51,246.56,244.39,1452100,963800,0
113,2021-07-09,2021-07-12,264.31,261.18,265.53,262.97,260.0,259.77,263.64,261.79,244.51,242.79,1880900,1000700,0
114,2021-07-16,2021-07-19,264.03,255.0,264.3,256.31,260.48,252.25,260.55,253.82,241.64,235.4,1724700,1343100,0
115,2021-07-23,2021-07-26,264.4,264.78,266.49,267.09,263.83,263.35,265.32,265.28,246.07,246.03,1039900,899900,0
116,2021-07-30,2021-08-02,255.78,259.08,257.89,261.37,255.1,255.41,257.83,256.16,239.12,237.57,1044700,829900,0
117,2021-08-06,2021-08-09,254.5,255.34,257.33,256.54,254.05,254.7,256.01,255.67,238.45,238.14,1001900,858500,0
118,2021-08-13,2021-08-16,269.06,268.71,269.97,270.21,267.08,266.82,268.92,269.73,250.48,251.23,1072900,1084300,0
119,2021-08-20,2021-08-23,262.66,262.99,263.81,266.6,261.49,262.53,262.27,263.61,244.28,245.53,724000,743200,0
120,2021-08-27,2021-08-30,260.19,260.91,262.01,260.96,259.65,257.68,260.81,258.23,242.92,240.52,772000,1026300,0
121,2021-09-10,2021-09-13,248.73,249.33,249.62,249.61,246.89,243.66,247.15,245.54,230.2,228.7,1231900,1283100,0
122,2021-09-17,2021-09-20,246.91,243.05,248.87,243.63,245.15,239.58,246.04,241.56,229.17,224.99,2296300,1311100,0
