Date,datetime,Open,High,Low,Close
1985-05-04,1985-05-04,12463.43,12545.25,12444.24,12545.25
1985-05-07,1985-05-07,12551.27,12556.9,12490.45,12506.3
1985-05-08,1985-05-08,12552.42,12565.5,12503.63,12521.2
1985-05-09,1985-05-09,12532.84,12532.84,12466.2,12474.51
1985-05-10,1985-05-10,12491.6,12527.31,12475.37,12527.31
1985-05-13,1985-05-13,12569.12,12571.8,12531.32,12541.53
1985-05-14,1985-05-14,12562.44,12567.31,12483.01,12504.2
1985-05-15,1985-05-15,12506.11,12510.6,12351.82,12358.03
1985-05-16,1985-05-16,12364.9,12369.3,12307.62,12369.3
1985-05-17,1985-05-17,12407.77,12434.6,12381.99,12419.99
1985-05-18,1985-05-18,12476.32,12518.43,12442.52,12516.14
1985-05-20,1985-05-20,12542.58,12574.47,12538.67,12559.1
1985-05-21,1985-05-21,12624.59,12669.85,12597.38,12650.37
1985-05-22,1985-05-22,12688.37,12697.35,12665.46,12673.57
1985-05-23,1985-05-23,12688.75,12689.04,12632.14,12649.13
1985-05-24,1985-05-24,12625.07,12649.51,12588.03,12593.85
1985-05-25,1985-05-25,12605.4,12607.98,12571.03,12593.76
1985-05-27,1985-05-27,12631.56,12642.73,12609.6,12642.73
1985-05-28,1985-05-28,12656.22,12702.6,12642.33,12694.93
1985-05-29,1985-05-29,12722.62,12783.94,12706.52,12767.17
1985-05-30,1985-05-30,12794.77,12812.78,12770.43,12790.27
1985-05-31,1985-05-31,12807.32,12835.87,12748.11,12758.46
1985-06-01,1985-06-01,12764.78,12766.89,12689.47,12689.47
1985-06-03,1985-06-03,12688.99,12689.57,12456.55,12473.41
1985-06-04,1985-06-04,12476.29,12583.31,12468.43,12583.31
1985-06-05,1985-06-05,12673.09,12704.99,12635.14,12693.21
1985-06-06,1985-06-06,12722.53,12744.75,12697.71,12716.11
1985-06-07,1985-06-07,12738.33,12743.89,12638.02,12716.59
1985-06-10,1985-06-10,12700.49,12721.95,12661.21,12683.34
1985-06-11,1985-06-11,12691.0,12759.03,12689.47,12758.93
1985-06-12,1985-06-12,12794.86,12795.82,12723.39,12748.01
1985-06-13,1985-06-13,12737.66,12743.22,12705.28,12717.16
1985-06-14,1985-06-14,12693.4,12696.56,12677.3,12685.25
1985-06-15,1985-06-15,12710.26,12753.38,12707.39,12753.38
1985-06-17,1985-06-17,12776.56,12789.88,12759.8,12769.28
1985-06-18,1985-06-18,12782.7,12792.09,12734.5,12741.11
1985-06-19,1985-06-19,12802.34,12813.55,12744.45,12773.59
1985-06-20,1985-06-20,12758.74,12770.53,12664.46,12677.97
1985-06-21,1985-06-21,12653.25,12668.3,12634.76,12634.76
1985-06-22,1985-06-22,12709.02,12729.62,12674.43,12729.62
1985-06-24,1985-06-24,12783.46,12807.51,12765.93,12765.93
1985-06-25,1985-06-25,12738.72,12837.02,12738.72,12837.02
1985-06-26,1985-06-26,12874.41,12916.05,12871.15,12910.29
1985-06-27,1985-06-27,12939.27,12941.76,12772.71,12841.6
1985-06-28,1985-06-28,12889.67,12923.05,12882.09,12882.09
1985-06-29,1985-06-29,12899.93,12923.05,12886.79,12923.05
1985-07-01,1985-07-01,12949.63,12959.32,12912.41,12919.03
1985-07-02,1985-07-02,12938.02,12942.24,12896.38,12913.75
1985-07-03,1985-07-03,12922.1,12927.76,12902.91,12924.3
1985-07-04,1985-07-04,12933.61,12969.59,12928.24,12969.59
1985-07-05,1985-07-05,12995.01,13016.69,12941.0,12963.35
1985-07-06,1985-07-06,12994.05,13040.68,12977.07,13040.1
1985-07-08,1985-07-08,13068.5,13102.66,13029.65,13029.65
1985-07-09,1985-07-09,13059.29,13068.21,13019.76,13021.01
1985-07-10,1985-07-10,13033.29,13038.09,12986.86,13012.09
1985-07-11,1985-07-11,13027.15,13027.15,12833.35,12858.1
1985-07-12,1985-07-12,12860.5,12885.06,12823.56,12839.49
1985-07-15,1985-07-15,12851.87,12852.15,12461.38,12598.77
1985-07-16,1985-07-16,12590.9,12703.92,12587.83,12698.26
1985-07-17,1985-07-17,12775.11,12846.49,12737.41,12846.49
1985-07-18,1985-07-18,12889.19,12895.14,12830.76,12852.54
1985-07-19,1985-07-19,12850.62,12855.61,12780.39,12788.54
1985-07-20,1985-07-20,12798.33,12808.02,12777.8,12797.66
1985-07-22,1985-07-22,12794.78,12816.75,12760.34,12771.66
1985-07-23,1985-07-23,12800.35,12820.78,12756.12,12762.83
1985-07-24,1985-07-24,12779.81,12779.81,12729.06,12777.03
1985-07-25,1985-07-25,12761.68,12765.81,12625.44,12647.03
1985-07-26,1985-07-26,12638.59,12663.92,12615.47,12648.09
1985-07-27,1985-07-27,12681.35,12692.2,12670.12,12690.37
1985-07-29,1985-07-29,12702.66,12710.24,12582.11,12591.42
1985-07-30,1985-07-30,12521.07,12568.86,12257.89,12269.89
1985-07-31,1985-07-31,12275.46,12295.42,12203.19,12232.27
1985-08-01,1985-08-01,12319.51,12539.59,12279.49,12538.34
1985-08-02,1985-08-02,12567.9,12586.24,12525.87,12525.96
1985-08-03,1985-08-03,12512.24,12512.24,12471.16,12492.27
1985-08-05,1985-08-05,12497.84,12502.16,12444.76,12450.62
1985-08-06,1985-08-06,12424.03,12444.19,12420.58,12437.28
1985-08-07,1985-08-07,12373.07,12425.95,12373.07,12421.15
1985-08-08,1985-08-08,12421.63,12433.82,12372.97,12386.03
1985-08-09,1985-08-09,12401.29,12416.64,12391.3,12401.19
1985-08-12,1985-08-12,12397.93,12399.75,12370.0,12372.88
1985-08-13,1985-08-13,12341.88,12360.69,12298.78,12326.71
1985-08-14,1985-08-14,12349.08,12419.64,12334.74,12419.64
1985-08-15,1985-08-15,12458.25,12490.49,12434.92,12484.02
1985-08-16,1985-08-16,12524.22,12583.08,12512.79,12583.08
1985-08-17,1985-08-17,12613.16,12615.59,12590.48,12612.31
1985-08-19,1985-08-19,12622.25,12647.08,12621.97,12640.05
1985-08-20,1985-08-20,12653.92,12662.36,12619.81,12634.05
1985-08-21,1985-08-21,12661.23,12704.81,12634.9,12704.81
1985-08-22,1985-08-22,12704.99,12736.95,12695.9,12734.05
1985-08-23,1985-08-23,12721.3,12730.95,12676.97,12691.41
1985-08-24,1985-08-24,12689.72,12698.72,12678.47,12690.09
1985-08-26,1985-08-26,12703.96,12707.34,12639.36,12651.77
1985-08-27,1985-08-27,12647.74,12691.78,12632.27,12691.41
1985-08-28,1985-08-28,12712.77,12730.39,12678.1,12685.5
1985-08-29,1985-08-29,12699.09,12734.61,12687.19,12728.8
1985-08-30,1985-08-30,12748.1,12763.47,12709.87,12713.15
1985-08-31,1985-08-31,12716.43,12721.11,12695.53,12716.52
1985-09-02,1985-09-02,12735.45,12750.45,12718.58,12726.64
1985-09-03,1985-09-03,12741.26,12744.73,12630.31,12630.96
1985-09-04,1985-09-04,12587.29,12614.75,12499.02,12529.47
1985-09-05,1985-09-05,12504.73,12514.57,12480.65,12491.8
1985-09-06,1985-09-06,12508.29,12530.6,12451.13,12453.85
1985-09-07,1985-09-07,12461.62,12486.18,12457.69,12479.06
1985-09-09,1985-09-09,12503.33,12503.89,12433.04,12455.72
1985-09-10,1985-09-10,12456.28,12519.54,12433.98,12519.54
1985-09-11,1985-09-11,12564.33,12627.03,12537.06,12625.25
1985-09-12,1985-09-12,12605.47,12627.68,12593.57,12603.04
1985-09-13,1985-09-13,12593.95,12596.57,12551.68,12585.7
1985-09-17,1985-09-17,12599.29,12603.69,12580.73,12591.51
1985-09-18,1985-09-18,12575.48,12587.39,12474.37,12529.66
1985-09-19,1985-09-19,12548.4,12566.49,12538.0,12564.99
1985-09-20,1985-09-20,12619.72,12677.35,12594.6,12666.95
1985-09-21,1985-09-21,12669.85,12733.01,12660.95,12733.01
1985-09-24,1985-09-24,12786.62,12804.7,12741.54,12755.6
1985-09-25,1985-09-25,12746.79,12751.1,12678.29,12704.81
1985-09-26,1985-09-26,12714.86,12716.55,12678.41,12689.5
1985-09-27,1985-09-27,12712.04,12713.17,12520.39,12538.71
1985-09-28,1985-09-28,12524.33,12593.01,12518.98,12593.01
1985-09-30,1985-09-30,12619.88,12700.11,12596.11,12700.11
1985-10-01,1985-10-01,12705.37,12731.4,12674.56,12685.36
1985-10-02,1985-10-02,12683.77,12751.5,12683.67,12720.5
1985-10-03,1985-10-03,12715.8,12726.04,12683.2,12700.86
1985-10-04,1985-10-04,12698.23,12723.51,12685.64,12713.83
1985-10-05,1985-10-05,12701.9,12751.5,12701.9,12750.66
1985-10-07,1985-10-07,12753.57,12803.27,12753.57,12792.0
1985-10-08,1985-10-08,12794.81,12844.04,12794.25,12835.21
1985-10-09,1985-10-09,12845.17,12882.66,12843.48,12857.2
1985-10-11,1985-10-11,12856.82,12951.8,12856.82,12949.92
1985-10-14,1985-10-14,12955.37,13018.98,12955.37,13017.29
1985-10-15,1985-10-15,13021.7,13056.37,13014.28,13055.52
1985-10-16,1985-10-16,13048.59,13079.03,13022.65,13036.56
1985-10-17,1985-10-17,13038.62,13049.24,12974.81,13021.14
1985-10-18,1985-10-18,13018.8,13050.47,12969.74,12973.22
1985-10-19,1985-10-19,12969.93,13016.54,12965.79,13015.69
1985-10-21,1985-10-21,13019.36,13049.9,13008.83,13023.21
1985-10-22,1985-10-22,13021.05,13044.26,12999.62,13001.69
1985-10-23,1985-10-23,13005.26,13033.27,12945.59,12946.53
1985-10-24,1985-10-24,12937.69,12969.08,12857.72,12969.08
1985-10-25,1985-10-25,12988.35,13063.53,12841.18,12854.99
1985-10-26,1985-10-26,12839.86,12839.86,12710.46,12832.63
1985-10-28,1985-10-28,12843.06,12987.41,12843.06,12937.04
1985-10-29,1985-10-29,12930.93,12973.31,12885.91,12913.92
1985-10-30,1985-10-30,12908.56,12958.37,12899.26,12908.66
1985-10-31,1985-10-31,12917.02,12953.01,12909.59,12936.47
1985-11-01,1985-11-01,12926.51,12936.57,12744.95,12808.1
1985-11-02,1985-11-02,12797.01,12811.48,12763.09,12809.98
1985-11-05,1985-11-05,12806.13,12820.69,12752.0,12820.69
1985-11-06,1985-11-06,12822.76,12893.06,12814.4,12892.4
1985-11-07,1985-11-07,12893.34,12893.9,12815.9,12851.24
1985-11-08,1985-11-08,12847.66,12854.15,12807.35,12851.05
1985-11-11,1985-11-11,12848.98,12856.03,12808.57,12821.26
1985-11-12,1985-11-12,12824.73,12842.12,12716.66,12735.08
1985-11-13,1985-11-13,12730.66,12750.59,12703.69,12716.29
1985-11-14,1985-11-14,12705.67,12705.67,12480.12,12589.51
1985-11-15,1985-11-15,12572.97,12656.61,12562.92,12637.44
1985-11-16,1985-11-16,12643.08,12687.53,12638.57,12679.64
1985-11-18,1985-11-18,12682.45,12739.12,12682.45,12700.31
1985-11-19,1985-11-19,12698.9,12698.9,12565.17,12607.27
1985-11-20,1985-11-20,12604.74,12658.49,12598.35,12642.89
1985-11-21,1985-11-21,12641.11,12702.28,12641.11,12697.02
1985-11-22,1985-11-22,12705.85,12803.59,12705.85,12759.33
1985-11-25,1985-11-25,12765.62,12800.68,12764.31,12783.39
1985-11-26,1985-11-26,12781.6,12801.43,12766.38,12783.1
1985-11-27,1985-11-27,12783.76,12807.35,12756.23,12777.84
1985-11-28,1985-11-28,12782.73,12814.87,12736.58,12741.19
1985-11-29,1985-11-29,12736.21,12764.31,12716.1,12763.27
1985-11-30,1985-11-30,12773.24,12788.08,12764.21,12779.53
1985-12-02,1985-12-02,12783.01,12816.65,12783.01,12796.92
1985-12-03,1985-12-03,12787.8,12793.82,12765.34,12774.55
1985-12-04,1985-12-04,12770.79,12811.2,12758.2,12811.2
1985-12-05,1985-12-05,12826.14,12873.98,12826.14,12864.11
1985-12-06,1985-12-06,12863.55,12884.5,12781.6,12793.53
1985-12-07,1985-12-07,12781.13,12790.9,12732.73,12790.9
1985-12-09,1985-12-09,12790.06,12821.35,12782.26,12798.23
1985-12-10,1985-12-10,12807.35,12851.42,12807.35,12850.95
1985-12-11,1985-12-11,12869.66,12977.63,12869.66,12972.0
1985-12-12,1985-12-12,12979.8,13070.29,12979.8,13050.28
1985-12-13,1985-12-13,13058.55,13115.03,13058.55,13107.98
1985-12-16,1985-12-16,13111.17,13183.25,13098.77,13117.85
1985-12-17,1985-12-17,13127.71,13169.91,13119.82,13128.94
1985-12-18,1985-12-18,13122.36,13138.14,13095.01,13102.34
1985-12-19,1985-12-19,13109.58,13129.88,13089.65,13115.03
1985-12-20,1985-12-20,13112.4,13116.34,12995.77,13011.09
1985-12-21,1985-12-21,13004.23,13004.23,12962.6,12962.79
1985-12-23,1985-12-23,12961.0,13055.45,12961.0,13043.04
1985-12-24,1985-12-24,13050.28,13050.28,12992.48,13010.71
1985-12-25,1985-12-25,13018.42,13104.13,13018.42,13097.83
1985-12-26,1985-12-26,13108.14,13121.61,13071.02,13084.59
1985-12-27,1985-12-27,13078.28,13105.78,13066.97,13083.18
1985-12-28,1985-12-28,13075.26,13117.94,13075.26,13113.32
1986-01-04,1986-01-04,13118.5,13142.33,13105.97,13136.87
1986-01-06,1986-01-06,13129.05,13145.54,13053.22,13053.79
1986-01-07,1986-01-07,13034.57,13037.68,12933.5,12991.24
1986-01-08,1986-01-08,12997.74,13057.46,12996.8,13056.42
1986-01-09,1986-01-09,13036.08,13062.26,12959.21,13034.19
1986-01-10,1986-01-10,13033.91,13037.11,12989.17,12998.21
1986-01-13,1986-01-13,12992.09,12992.09,12946.87,12977.02
1986-01-14,1986-01-14,12968.82,12968.82,12924.83,12928.6
1986-01-16,1986-01-16,12940.18,13027.13,12940.18,13027.13
1986-01-17,1986-01-17,13031.37,13059.16,12992.28,13009.7
1986-01-18,1986-01-18,13001.32,13008.2,12984.27,13006.78
1986-01-20,1986-01-20,13005.37,13005.37,12938.58,12952.05
1986-01-21,1986-01-21,12934.06,12940.94,12880.93,12881.5
1986-01-22,1986-01-22,12883.38,12942.92,12882.25,12923.32
1986-01-23,1986-01-23,12926.71,12931.71,12871.89,12888.94
1986-01-24,1986-01-24,12892.14,12944.33,12879.71,12904.2
1986-01-25,1986-01-25,12905.24,12955.16,12905.24,12953.37
1986-01-27,1986-01-27,12965.81,13027.69,12965.81,12983.14
1986-01-28,1986-01-28,12983.8,13009.04,12969.2,12993.69
1986-01-29,1986-01-29,12991.71,13013.56,12948.76,12957.14
1986-01-30,1986-01-30,12954.13,12964.39,12938.02,12949.04
1986-01-31,1986-01-31,12948.38,13026.38,12944.71,13024.3
1986-02-01,1986-02-01,13022.98,13068.86,13022.98,13043.61
1986-02-03,1986-02-03,13046.82,13118.31,13046.82,13086.47
1986-02-04,1986-02-04,13094.01,13146.67,13094.01,13138.09
1986-02-05,1986-02-05,13131.88,13188.49,13131.88,13185.66
1986-02-06,1986-02-06,13190.66,13210.34,13170.31,13186.61
1986-02-07,1986-02-07,13185.95,13216.94,13185.95,13212.13
1986-02-10,1986-02-10,13218.07,13238.04,13217.69,13226.07
1986-02-12,1986-02-12,13223.34,13311.23,13223.34,13300.58
1986-02-13,1986-02-13,13306.42,13355.88,13276.38,13293.8
1986-02-14,1986-02-14,13295.21,13355.6,13295.21,13342.78
1986-02-15,1986-02-15,13348.81,13404.58,13348.81,13404.3
1986-02-17,1986-02-17,13409.66,13477.49,13409.66,13447.91
1986-02-18,1986-02-18,13448.29,13468.54,13416.16,13436.23
1986-02-19,1986-02-19,13435.95,13488.32,13435.85,13466.65
1986-02-20,1986-02-20,13461.19,13468.35,13348.53,13355.41
1986-02-21,1986-02-21,13364.92,13394.78,13364.92,13394.31
1986-02-22,1986-02-22,13401.56,13433.21,13395.35,13433.21
1986-02-24,1986-02-24,13441.31,13503.49,13441.31,13503.49
1986-02-25,1986-02-25,13507.72,13579.88,13507.72,13576.3
1986-02-26,1986-02-26,13573.57,13626.51,13566.22,13621.7
1986-02-27,1986-02-27,13627.73,13684.82,13614.07,13642.14
1986-02-28,1986-02-28,13646.57,13701.58,13610.4,13640.83
1986-03-01,1986-03-01,13643.84,13734.55,13643.84,13727.86
1986-03-03,1986-03-03,13735.12,13803.32,13733.42,13757.63
1986-03-04,1986-03-04,13764.98,13798.32,13754.33,13784.29
1986-03-05,1986-03-05,13785.51,13811.51,13768.75,13807.46
1986-03-06,1986-03-06,13821.12,13904.95,13821.12,13901.56
1986-03-07,1986-03-07,13907.5,14011.68,13907.5,13994.63
1986-03-10,1986-03-10,13992.28,14060.57,13992.28,14056.52
1986-03-11,1986-03-11,14055.01,14087.32,14050.68,14066.22
1986-03-12,1986-03-12,14085.44,14238.23,14085.44,14238.13
1986-03-13,1986-03-13,14235.02,14415.69,14233.52,14414.66
1986-03-14,1986-03-14,14410.98,14516.77,14382.91,14516.77
1986-03-15,1986-03-15,14518.75,14664.47,14518.75,14664.47
1986-03-17,1986-03-17,14672.0,14748.02,14547.85,14655.52
1986-03-18,1986-03-18,14655.9,14712.42,14618.03,14639.32
1986-03-19,1986-03-19,14643.65,14657.4,14447.44,14476.54
1986-03-20,1986-03-20,14477.49,14768.27,14477.49,14753.3
1986-03-22,1986-03-22,14753.67,15015.73,14753.67,15013.19
1986-03-24,1986-03-24,15012.15,15045.5,14844.2,14975.23
1986-03-25,1986-03-25,14977.2,14977.2,14822.16,14826.87
1986-03-26,1986-03-26,14827.24,15059.72,14809.16,15059.72
1986-03-27,1986-03-27,15057.54,15368.88,15057.54,15337.18
1986-03-28,1986-03-28,15328.95,15489.54,15273.68,15364.34
1986-03-29,1986-03-29,15372.67,15590.9,15372.67,15590.9
1986-03-31,1986-03-31,15597.24,15860.13,15597.24,15859.75
1986-04-01,1986-04-01,15864.64,15966.14,15693.52,15745.87
1986-04-02,1986-04-02,15742.1,15742.1,15529.57,15555.51
1986-04-03,1986-04-03,15556.74,15556.74,15146.5,15272.24
1986-04-04,1986-04-04,15276.67,15302.33,14991.42,15019.81
1986-04-05,1986-04-05,15014.06,15124.33,14994.34,15124.33
1986-04-07,1986-04-07,15136.59,15274.5,15060.47,15061.98
1986-04-08,1986-04-08,15065.75,15066.22,14977.17,15014.06
1986-04-09,1986-04-09,15029.43,15144.04,15029.43,15110.18
1986-04-10,1986-04-10,15111.97,15213.47,15111.97,15203.57
1986-04-11,1986-04-11,15209.79,15332.14,15205.45,15326.38
1986-04-14,1986-04-14,15344.4,15490.24,15344.4,15396.76
1986-04-15,1986-04-15,15406.66,15454.01,15283.28,15352.33
1986-04-16,1986-04-16,15350.82,15376.57,15325.63,15358.36
1986-04-17,1986-04-17,15359.78,15492.69,15359.78,15486.84
1986-04-18,1986-04-18,15491.75,15775.59,15491.75,15758.61
1986-04-19,1986-04-19,15765.4,15841.62,15765.4,15826.62
1986-04-21,1986-04-21,15834.36,15914.91,15797.75,15827.28
1986-04-22,1986-04-22,15825.31,15859.29,15712.16,15712.91
1986-04-23,1986-04-23,15712.91,15753.3,15636.28,15748.02
1986-04-24,1986-04-24,15744.15,15756.04,15671.01,15682.05
1986-04-25,1986-04-25,15678.94,15752.83,15678.94,15689.88
1986-04-26,1986-04-26,15690.35,15725.18,15685.16,15707.34
1986-04-28,1986-04-28,15718.67,15793.13,15718.67,15757.93
1986-04-30,1986-04-30,15754.72,15839.66,15750.85,15825.5
1986-05-01,1986-05-01,15817.95,15817.95,15723.67,15782.65
1986-05-02,1986-05-02,15778.97,15888.92,15778.12,15868.44
1986-05-06,1986-05-06,15869.57,15912.61,15869.57,15900.15
1986-05-07,1986-05-07,15897.89,15959.51,15897.89,15953.85
1986-05-08,1986-05-08,15959.61,16089.47,15959.61,16078.24
1986-05-09,1986-05-09,16082.58,16209.61,16082.58,16194.98
1986-05-12,1986-05-12,16197.06,16248.3,16099.75,16105.23
1986-05-13,1986-05-13,16105.89,16105.89,15916.29,15982.26
1986-05-14,1986-05-14,15982.35,16011.61,15940.45,15943.75
1986-05-15,1986-05-15,15953.1,15972.82,15922.8,15924.69
1986-05-16,1986-05-16,15911.38,15911.38,15646.66,15739.05
1986-05-17,1986-05-17,15723.1,15723.1,15608.72,15674.03
1986-05-19,1986-05-19,15678.56,15749.53,15678.56,15697.53
1986-05-20,1986-05-20,15694.79,15702.53,15669.78,15689.98
1986-05-21,1986-05-21,15697.34,15820.97,15697.34,15808.14
1986-05-22,1986-05-22,15815.4,15929.12,15813.8,15917.33
1986-05-23,1986-05-23,15928.46,16209.98,15928.46,16204.98
1986-05-24,1986-05-24,16218.29,16397.41,16218.29,16397.32
1986-05-26,1986-05-26,16420.54,16503.78,16383.07,16409.49
1986-05-27,1986-05-27,16411.57,16469.23,16390.43,16467.35
1986-05-28,1986-05-28,16473.05,16557.27,16473.05,16553.39
1986-05-29,1986-05-29,16558.22,16706.68,16558.22,16610.61
1986-05-30,1986-05-30,16618.66,16673.61,16543.82,16670.77
1986-05-31,1986-05-31,16666.04,16673.61,16611.84,16629.09
1986-06-02,1986-06-02,16637.9,16761.44,16637.9,16739.27
1986-06-03,1986-06-03,16742.97,16748.37,16669.54,16669.54
1986-06-04,1986-06-04,16669.07,16802.75,16669.07,16802.75
1986-06-05,1986-06-05,16805.12,16866.79,16800.76,16810.99
1986-06-06,1986-06-06,16808.43,16865.28,16808.43,16817.91
1986-06-07,1986-06-07,16818.85,16929.61,16815.63,16899.01
1986-06-09,1986-06-09,16901.47,17017.43,16901.47,17008.34
1986-06-10,1986-06-10,17004.83,17013.07,16773.38,16967.69
1986-06-11,1986-06-11,16978.68,17133.21,16978.68,17096.45
1986-06-12,1986-06-12,17106.11,17202.94,17106.11,17131.22
1986-06-13,1986-06-13,17132.73,17211.18,17132.73,17205.97
1986-06-16,1986-06-16,17209.47,17266.51,17161.72,17185.6
1986-06-17,1986-06-17,17182.47,17192.04,17048.6,17075.89
1986-06-18,1986-06-18,17066.7,17189.39,17066.7,17177.07
1986-06-19,1986-06-19,17176.41,17284.98,17176.41,17277.59
1986-06-20,1986-06-20,17283.94,17424.63,17283.94,17403.13
1986-06-21,1986-06-21,17399.72,17490.76,17399.72,17454.86
1986-06-23,1986-06-23,17454.1,17495.5,17442.07,17457.89
1986-06-24,1986-06-24,17454.76,17460.45,17342.4,17342.4
1986-06-25,1986-06-25,17351.02,17525.44,17351.02,17516.63
1986-06-26,1986-06-26,17515.87,17619.99,17515.87,17600.95
1986-06-27,1986-06-27,17601.89,17637.8,17453.34,17500.43
1986-06-28,1986-06-28,17509.14,17570.91,17509.14,17547.42
1986-06-30,1986-06-30,17555.95,17655.42,17555.95,17654.19
1986-07-01,1986-07-01,17656.09,17675.98,17571.1,17622.74
1986-07-02,1986-07-02,17630.79,17693.79,17629.18,17669.92
1986-07-03,1986-07-03,17676.17,17748.08,17676.17,17691.8
1986-07-04,1986-07-04,17692.09,17715.68,17519.47,17597.73
1986-07-05,1986-07-05,17588.82,17609.1,17555.0,17595.36
1986-07-07,1986-07-07,17626.91,17827.29,17626.91,17714.07
1986-07-08,1986-07-08,17711.04,17740.31,17484.6,17734.15
1986-07-09,1986-07-09,17739.27,17763.33,17489.06,17506.11
1986-07-10,1986-07-10,17500.62,17519.0,17442.35,17469.82
1986-07-11,1986-07-11,17481.1,17686.97,17481.1,17670.77
1986-07-14,1986-07-14,17676.93,17844.34,17676.93,17820.56
1986-07-15,1986-07-15,17817.72,17920.51,17764.19,17882.8
1986-07-16,1986-07-16,17884.89,17886.59,17687.64,17700.9
1986-07-17,1986-07-17,17695.12,17764.66,17686.12,17725.63
1986-07-18,1986-07-18,17735.58,17901.09,17735.58,17838.84
1986-07-19,1986-07-19,17839.22,17903.55,17836.76,17841.31
1986-07-21,1986-07-21,17852.3,17963.05,17277.5,17522.22
1986-07-22,1986-07-22,17513.22,17723.73,17371.1,17639.32
1986-07-23,1986-07-23,17649.08,17896.92,17649.08,17860.07
1986-07-24,1986-07-24,17864.8,18039.7,17864.8,18026.24
1986-07-25,1986-07-25,18024.16,18131.69,18016.86,18050.59
1986-07-26,1986-07-26,18052.01,18052.01,17988.54,17998.29
1986-07-28,1986-07-28,17989.01,18042.35,17977.93,18038.94
1986-07-29,1986-07-29,18037.04,18043.11,17689.06,17728.94
1986-07-30,1986-07-30,17717.57,17815.92,17717.57,17799.05
1986-07-31,1986-07-31,17795.36,17882.24,17491.33,17509.71
1986-08-01,1986-08-01,17504.78,17545.05,17145.9,17321.93
1986-08-02,1986-08-02,17320.99,17320.99,17252.68,17284.79
1986-08-04,1986-08-04,17287.83,17312.55,17255.61,17263.1
1986-08-05,1986-08-05,17270.01,17475.6,17270.01,17414.78
1986-08-06,1986-08-06,17412.41,17458.74,17338.8,17353.48
1986-08-07,1986-08-07,17374.32,17473.05,17372.81,17422.36
1986-08-08,1986-08-08,17415.82,17474.85,17379.54,17435.53
1986-08-11,1986-08-11,17436.57,17479.2,17427.48,17479.11
1986-08-12,1986-08-12,17492.66,17802.08,17492.66,17794.69
1986-08-13,1986-08-13,17807.48,18014.78,17807.48,18000.76
1986-08-14,1986-08-14,18004.55,18265.18,18004.55,18264.71
1986-08-15,1986-08-15,18269.07,18376.41,18269.07,18376.41
1986-08-18,1986-08-18,18375.46,18599.91,18375.46,18597.44
1986-08-19,1986-08-19,18600.0,18801.89,18591.09,18792.61
1986-08-20,1986-08-20,18791.0,18978.49,18788.73,18936.24
1986-08-21,1986-08-21,18934.63,18996.12,18604.83,18675.6
1986-08-22,1986-08-22,18667.84,18677.21,18408.72,18441.31
1986-08-23,1986-08-23,18440.93,18440.93,18113.88,18132.83
1986-08-25,1986-08-25,18142.87,18638.75,18142.87,18565.61
1986-08-26,1986-08-26,18570.35,18771.29,18570.35,18640.83
1986-08-27,1986-08-27,18637.61,18666.22,18493.42,18503.27
