,Fridays,Mondays
1702,2002-08-16,2002-08-19
1703,2002-08-23,2002-08-26
1704,2002-08-30,2002-09-02
1705,2002-09-06,2002-09-09
1706,2002-09-13,2002-09-16
1707,2002-09-20,2002-09-23
1708,2002-09-27,2002-09-30
1709,2002-10-04,2002-10-07
1710,2002-10-11,2002-10-14
1711,2002-10-18,2002-10-21
1712,2002-10-25,2002-10-28
1713,2002-11-01,2002-11-04
1714,2002-11-08,2002-11-11
1715,2002-11-15,2002-11-18
1716,2002-11-22,2002-11-25
1717,2002-11-29,2002-12-02
1718,2002-12-06,2002-12-09
1719,2002-12-13,2002-12-16
1720,2002-12-20,2002-12-23
1721,2002-12-27,2002-12-30
1722,2003-01-03,2003-01-06
1723,2003-01-10,2003-01-13
1724,2003-01-17,2003-01-20
1725,2003-01-24,2003-01-27
1726,2003-01-31,2003-02-03
1727,2003-02-07,2003-02-10
1728,2003-02-14,2003-02-17
1729,2003-02-21,2003-02-24
1730,2003-02-28,2003-03-03
1731,2003-03-07,2003-03-10
1732,2003-03-14,2003-03-17
1733,2003-03-21,2003-03-24
1734,2003-03-28,2003-03-31
1735,2003-04-04,2003-04-07
1736,2003-04-11,2003-04-14
1737,2003-04-18,2003-04-21
1738,2003-04-25,2003-04-28
1739,2003-05-02,2003-05-05
1740,2003-05-09,2003-05-12
1741,2003-05-16,2003-05-19
1742,2003-05-23,2003-05-26
1743,2003-05-30,2003-06-02
1744,2003-06-06,2003-06-09
1745,2003-06-13,2003-06-16
1746,2003-06-20,2003-06-23
1747,2003-06-27,2003-06-30
1748,2003-07-04,2003-07-07
1749,2003-07-11,2003-07-14
1750,2003-07-18,2003-07-21
1751,2003-07-25,2003-07-28
1752,2003-08-01,2003-08-04
1753,2003-08-08,2003-08-11
1754,2003-08-15,2003-08-18
1755,2003-08-22,2003-08-25
1756,2003-08-29,2003-09-01
1757,2003-09-05,2003-09-08
1758,2003-09-12,2003-09-15
1759,2003-09-19,2003-09-22
1760,2003-09-26,2003-09-29
1761,2003-10-03,2003-10-06
1762,2003-10-10,2003-10-13
1763,2003-10-17,2003-10-20
1764,2003-10-24,2003-10-27
1765,2003-10-31,2003-11-03
1766,2003-11-07,2003-11-10
1767,2003-11-14,2003-11-17
1768,2003-11-21,2003-11-24
1769,2003-11-28,2003-12-01
1770,2003-12-05,2003-12-08
1771,2003-12-12,2003-12-15
1772,2003-12-19,2003-12-22
1773,2003-12-26,2003-12-29
1774,2004-01-02,2004-01-05
1775,2004-01-09,2004-01-12
1776,2004-01-16,2004-01-19
1777,2004-01-23,2004-01-26
1778,2004-01-30,2004-02-02
1779,2004-02-06,2004-02-09
1780,2004-02-13,2004-02-16
1781,2004-02-20,2004-02-23
1782,2004-02-27,2004-03-01
1783,2004-03-05,2004-03-08
1784,2004-03-12,2004-03-15
1785,2004-03-19,2004-03-22
1786,2004-03-26,2004-03-29
1787,2004-04-02,2004-04-05
1788,2004-04-09,2004-04-12
1789,2004-04-16,2004-04-19
1790,2004-04-23,2004-04-26
1791,2004-04-30,2004-05-03
1792,2004-05-07,2004-05-10
1793,2004-05-14,2004-05-17
1794,2004-05-21,2004-05-24
1795,2004-05-28,2004-05-31
1796,2004-06-04,2004-06-07
1797,2004-06-11,2004-06-14
1798,2004-06-18,2004-06-21
1799,2004-06-25,2004-06-28
1800,2004-07-02,2004-07-05
1801,2004-07-09,2004-07-12
1802,2004-07-16,2004-07-19
1803,2004-07-23,2004-07-26
1804,2004-07-30,2004-08-02
1805,2004-08-06,2004-08-09
1806,2004-08-13,2004-08-16
1807,2004-08-20,2004-08-23
1808,2004-08-27,2004-08-30
1809,2004-09-03,2004-09-06
1810,2004-09-10,2004-09-13
1811,2004-09-17,2004-09-20
1812,2004-09-24,2004-09-27
1813,2004-10-01,2004-10-04
1814,2004-10-08,2004-10-11
1815,2004-10-15,2004-10-18
1816,2004-10-22,2004-10-25
1817,2004-10-29,2004-11-01
1818,2004-11-05,2004-11-08
1819,2004-11-12,2004-11-15
1820,2004-11-19,2004-11-22
1821,2004-11-26,2004-11-29
1822,2004-12-03,2004-12-06
1823,2004-12-10,2004-12-13
1824,2004-12-17,2004-12-20
1825,2004-12-24,2004-12-27
1826,2004-12-31,2005-01-03
1827,2005-01-07,2005-01-10
1828,2005-01-14,2005-01-17
1829,2005-01-21,2005-01-24
1830,2005-01-28,2005-01-31
1831,2005-02-04,2005-02-07
1832,2005-02-11,2005-02-14
1833,2005-02-18,2005-02-21
1834,2005-02-25,2005-02-28
1835,2005-03-04,2005-03-07
1836,2005-03-11,2005-03-14
1837,2005-03-18,2005-03-21
1838,2005-03-25,2005-03-28
1839,2005-04-01,2005-04-04
1840,2005-04-08,2005-04-11
1841,2005-04-15,2005-04-18
1842,2005-04-22,2005-04-25
1843,2005-04-29,2005-05-02
1844,2005-05-06,2005-05-09
1845,2005-05-13,2005-05-16
1846,2005-05-20,2005-05-23
1847,2005-05-27,2005-05-30
1848,2005-06-03,2005-06-06
1849,2005-06-10,2005-06-13
1850,2005-06-17,2005-06-20
1851,2005-06-24,2005-06-27
1852,2005-07-01,2005-07-04
1853,2005-07-08,2005-07-11
1854,2005-07-15,2005-07-18
1855,2005-07-22,2005-07-25
1856,2005-07-29,2005-08-01
1857,2005-08-05,2005-08-08
1858,2005-08-12,2005-08-15
1859,2005-08-19,2005-08-22
1860,2005-08-26,2005-08-29
1861,2005-09-02,2005-09-05
1862,2005-09-09,2005-09-12
1863,2005-09-16,2005-09-19
1864,2005-09-23,2005-09-26
1865,2005-09-30,2005-10-03
1866,2005-10-07,2005-10-10
1867,2005-10-14,2005-10-17
1868,2005-10-21,2005-10-24
1869,2005-10-28,2005-10-31
1870,2005-11-04,2005-11-07
1871,2005-11-11,2005-11-14
1872,2005-11-18,2005-11-21
1873,2005-11-25,2005-11-28
1874,2005-12-02,2005-12-05
1875,2005-12-09,2005-12-12
1876,2005-12-16,2005-12-19
1877,2005-12-23,2005-12-26
1878,2005-12-30,2006-01-02
1879,2006-01-06,2006-01-09
1880,2006-01-13,2006-01-16
1881,2006-01-20,2006-01-23
1882,2006-01-27,2006-01-30
1883,2006-02-03,2006-02-06
1884,2006-02-10,2006-02-13
1885,2006-02-17,2006-02-20
1886,2006-02-24,2006-02-27
1887,2006-03-03,2006-03-06
1888,2006-03-10,2006-03-13
1889,2006-03-17,2006-03-20
1890,2006-03-24,2006-03-27
1891,2006-03-31,2006-04-03
1892,2006-04-07,2006-04-10
1893,2006-04-14,2006-04-17
1894,2006-04-21,2006-04-24
1895,2006-04-28,2006-05-01
1896,2006-05-05,2006-05-08
1897,2006-05-12,2006-05-15
1898,2006-05-19,2006-05-22
1899,2006-05-26,2006-05-29
1900,2006-06-02,2006-06-05
1901,2006-06-09,2006-06-12
1902,2006-06-16,2006-06-19
1903,2006-06-23,2006-06-26
1904,2006-06-30,2006-07-03
1905,2006-07-07,2006-07-10
1906,2006-07-14,2006-07-17
1907,2006-07-21,2006-07-24
1908,2006-07-28,2006-07-31
1909,2006-08-04,2006-08-07
1910,2006-08-11,2006-08-14
1911,2006-08-18,2006-08-21
1912,2006-08-25,2006-08-28
1913,2006-09-01,2006-09-04
1914,2006-09-08,2006-09-11
1915,2006-09-15,2006-09-18
1916,2006-09-22,2006-09-25
1917,2006-09-29,2006-10-02
1918,2006-10-06,2006-10-09
1919,2006-10-13,2006-10-16
1920,2006-10-20,2006-10-23
1921,2006-10-27,2006-10-30
1922,2006-11-03,2006-11-06
1923,2006-11-10,2006-11-13
1924,2006-11-17,2006-11-20
1925,2006-11-24,2006-11-27
1926,2006-12-01,2006-12-04
1927,2006-12-08,2006-12-11
1928,2006-12-15,2006-12-18
1929,2006-12-22,2006-12-25
1930,2006-12-29,2007-01-01
1931,2007-01-05,2007-01-08
1932,2007-01-12,2007-01-15
1933,2007-01-19,2007-01-22
1934,2007-01-26,2007-01-29
1935,2007-02-02,2007-02-05
1936,2007-02-09,2007-02-12
1937,2007-02-16,2007-02-19
1938,2007-02-23,2007-02-26
1939,2007-03-02,2007-03-05
1940,2007-03-09,2007-03-12
1941,2007-03-16,2007-03-19
1942,2007-03-23,2007-03-26
1943,2007-03-30,2007-04-02
1944,2007-04-06,2007-04-09
1945,2007-04-13,2007-04-16
1946,2007-04-20,2007-04-23
1947,2007-04-27,2007-04-30
1948,2007-05-04,2007-05-07
1949,2007-05-11,2007-05-14
1950,2007-05-18,2007-05-21
1951,2007-05-25,2007-05-28
1952,2007-06-01,2007-06-04
1953,2007-06-08,2007-06-11
1954,2007-06-15,2007-06-18
1955,2007-06-22,2007-06-25
1956,2007-06-29,2007-07-02
1957,2007-07-06,2007-07-09
1958,2007-07-13,2007-07-16
1959,2007-07-20,2007-07-23
1960,2007-07-27,2007-07-30
1961,2007-08-03,2007-08-06
1962,2007-08-10,2007-08-13
1963,2007-08-17,2007-08-20
1964,2007-08-24,2007-08-27
1965,2007-08-31,2007-09-03
1966,2007-09-07,2007-09-10
1967,2007-09-14,2007-09-17
1968,2007-09-21,2007-09-24
1969,2007-09-28,2007-10-01
1970,2007-10-05,2007-10-08
1971,2007-10-12,2007-10-15
1972,2007-10-19,2007-10-22
1973,2007-10-26,2007-10-29
1974,2007-11-02,2007-11-05
1975,2007-11-09,2007-11-12
1976,2007-11-16,2007-11-19
1977,2007-11-23,2007-11-26
1978,2007-11-30,2007-12-03
1979,2007-12-07,2007-12-10
1980,2007-12-14,2007-12-17
1981,2007-12-21,2007-12-24
1982,2007-12-28,2007-12-31
1983,2008-01-04,2008-01-07
1984,2008-01-11,2008-01-14
1985,2008-01-18,2008-01-21
1986,2008-01-25,2008-01-28
1987,2008-02-01,2008-02-04
1988,2008-02-08,2008-02-11
1989,2008-02-15,2008-02-18
1990,2008-02-22,2008-02-25
1991,2008-02-29,2008-03-03
1992,2008-03-07,2008-03-10
1993,2008-03-14,2008-03-17
1994,2008-03-21,2008-03-24
1995,2008-03-28,2008-03-31
1996,2008-04-04,2008-04-07
1997,2008-04-11,2008-04-14
1998,2008-04-18,2008-04-21
1999,2008-04-25,2008-04-28
2000,2008-05-02,2008-05-05
2001,2008-05-09,2008-05-12
2002,2008-05-16,2008-05-19
2003,2008-05-23,2008-05-26
2004,2008-05-30,2008-06-02
2005,2008-06-06,2008-06-09
2006,2008-06-13,2008-06-16
2007,2008-06-20,2008-06-23
2008,2008-06-27,2008-06-30
2009,2008-07-04,2008-07-07
2010,2008-07-11,2008-07-14
2011,2008-07-18,2008-07-21
2012,2008-07-25,2008-07-28
2013,2008-08-01,2008-08-04
2014,2008-08-08,2008-08-11
2015,2008-08-15,2008-08-18
2016,2008-08-22,2008-08-25
2017,2008-08-29,2008-09-01
2018,2008-09-05,2008-09-08
2019,2008-09-12,2008-09-15
2020,2008-09-19,2008-09-22
2021,2008-09-26,2008-09-29
2022,2008-10-03,2008-10-06
2023,2008-10-10,2008-10-13
2024,2008-10-17,2008-10-20
2025,2008-10-24,2008-10-27
2026,2008-10-31,2008-11-03
2027,2008-11-07,2008-11-10
2028,2008-11-14,2008-11-17
2029,2008-11-21,2008-11-24
2030,2008-11-28,2008-12-01
2031,2008-12-05,2008-12-08
2032,2008-12-12,2008-12-15
2033,2008-12-19,2008-12-22
2034,2008-12-26,2008-12-29
2035,2009-01-02,2009-01-05
2036,2009-01-09,2009-01-12
2037,2009-01-16,2009-01-19
2038,2009-01-23,2009-01-26
2039,2009-01-30,2009-02-02
2040,2009-02-06,2009-02-09
2041,2009-02-13,2009-02-16
2042,2009-02-20,2009-02-23
2043,2009-02-27,2009-03-02
2044,2009-03-06,2009-03-09
2045,2009-03-13,2009-03-16
2046,2009-03-20,2009-03-23
2047,2009-03-27,2009-03-30
2048,2009-04-03,2009-04-06
2049,2009-04-10,2009-04-13
2050,2009-04-17,2009-04-20
2051,2009-04-24,2009-04-27
2052,2009-05-01,2009-05-04
2053,2009-05-08,2009-05-11
2054,2009-05-15,2009-05-18
2055,2009-05-22,2009-05-25
2056,2009-05-29,2009-06-01
2057,2009-06-05,2009-06-08
2058,2009-06-12,2009-06-15
2059,2009-06-19,2009-06-22
2060,2009-06-26,2009-06-29
2061,2009-07-03,2009-07-06
2062,2009-07-10,2009-07-13
2063,2009-07-17,2009-07-20
2064,2009-07-24,2009-07-27
2065,2009-07-31,2009-08-03
2066,2009-08-07,2009-08-10
2067,2009-08-14,2009-08-17
2068,2009-08-21,2009-08-24
2069,2009-08-28,2009-08-31
2070,2009-09-04,2009-09-07
2071,2009-09-11,2009-09-14
2072,2009-09-18,2009-09-21
2073,2009-09-25,2009-09-28
2074,2009-10-02,2009-10-05
2075,2009-10-09,2009-10-12
2076,2009-10-16,2009-10-19
2077,2009-10-23,2009-10-26
2078,2009-10-30,2009-11-02
2079,2009-11-06,2009-11-09
2080,2009-11-13,2009-11-16
2081,2009-11-20,2009-11-23
2082,2009-11-27,2009-11-30
2083,2009-12-04,2009-12-07
2084,2009-12-11,2009-12-14
2085,2009-12-18,2009-12-21
2086,2009-12-25,2009-12-28
2087,2010-01-01,2010-01-04
2088,2010-01-08,2010-01-11
2089,2010-01-15,2010-01-18
2090,2010-01-22,2010-01-25
2091,2010-01-29,2010-02-01
2092,2010-02-05,2010-02-08
2093,2010-02-12,2010-02-15
2094,2010-02-19,2010-02-22
2095,2010-02-26,2010-03-01
2096,2010-03-05,2010-03-08
2097,2010-03-12,2010-03-15
2098,2010-03-19,2010-03-22
2099,2010-03-26,2010-03-29
2100,2010-04-02,2010-04-05
2101,2010-04-09,2010-04-12
2102,2010-04-16,2010-04-19
2103,2010-04-23,2010-04-26
2104,2010-04-30,2010-05-03
2105,2010-05-07,2010-05-10
2106,2010-05-14,2010-05-17
2107,2010-05-21,2010-05-24
2108,2010-05-28,2010-05-31
2109,2010-06-04,2010-06-07
2110,2010-06-11,2010-06-14
2111,2010-06-18,2010-06-21
2112,2010-06-25,2010-06-28
2113,2010-07-02,2010-07-05
2114,2010-07-09,2010-07-12
2115,2010-07-16,2010-07-19
2116,2010-07-23,2010-07-26
2117,2010-07-30,2010-08-02
2118,2010-08-06,2010-08-09
2119,2010-08-13,2010-08-16
2120,2010-08-20,2010-08-23
2121,2010-08-27,2010-08-30
2122,2010-09-03,2010-09-06
2123,2010-09-10,2010-09-13
2124,2010-09-17,2010-09-20
2125,2010-09-24,2010-09-27
2126,2010-10-01,2010-10-04
2127,2010-10-08,2010-10-11
2128,2010-10-15,2010-10-18
2129,2010-10-22,2010-10-25
2130,2010-10-29,2010-11-01
2131,2010-11-05,2010-11-08
2132,2010-11-12,2010-11-15
2133,2010-11-19,2010-11-22
2134,2010-11-26,2010-11-29
2135,2010-12-03,2010-12-06
2136,2010-12-10,2010-12-13
2137,2010-12-17,2010-12-20
2138,2010-12-24,2010-12-27
2139,2010-12-31,2011-01-03
2140,2011-01-07,2011-01-10
2141,2011-01-14,2011-01-17
2142,2011-01-21,2011-01-24
2143,2011-01-28,2011-01-31
2144,2011-02-04,2011-02-07
2145,2011-02-11,2011-02-14
2146,2011-02-18,2011-02-21
2147,2011-02-25,2011-02-28
2148,2011-03-04,2011-03-07
2149,2011-03-11,2011-03-14
2150,2011-03-18,2011-03-21
2151,2011-03-25,2011-03-28
2152,2011-04-01,2011-04-04
2153,2011-04-08,2011-04-11
2154,2011-04-15,2011-04-18
2155,2011-04-22,2011-04-25
2156,2011-04-29,2011-05-02
2157,2011-05-06,2011-05-09
2158,2011-05-13,2011-05-16
2159,2011-05-20,2011-05-23
2160,2011-05-27,2011-05-30
2161,2011-06-03,2011-06-06
2162,2011-06-10,2011-06-13
2163,2011-06-17,2011-06-20
2164,2011-06-24,2011-06-27
2165,2011-07-01,2011-07-04
2166,2011-07-08,2011-07-11
2167,2011-07-15,2011-07-18
2168,2011-07-22,2011-07-25
2169,2011-07-29,2011-08-01
2170,2011-08-05,2011-08-08
2171,2011-08-12,2011-08-15
2172,2011-08-19,2011-08-22
2173,2011-08-26,2011-08-29
2174,2011-09-02,2011-09-05
2175,2011-09-09,2011-09-12
2176,2011-09-16,2011-09-19
2177,2011-09-23,2011-09-26
2178,2011-09-30,2011-10-03
2179,2011-10-07,2011-10-10
2180,2011-10-14,2011-10-17
2181,2011-10-21,2011-10-24
2182,2011-10-28,2011-10-31
2183,2011-11-04,2011-11-07
2184,2011-11-11,2011-11-14
2185,2011-11-18,2011-11-21
2186,2011-11-25,2011-11-28
2187,2011-12-02,2011-12-05
2188,2011-12-09,2011-12-12
2189,2011-12-16,2011-12-19
2190,2011-12-23,2011-12-26
2191,2011-12-30,2012-01-02
2192,2012-01-06,2012-01-09
2193,2012-01-13,2012-01-16
2194,2012-01-20,2012-01-23
2195,2012-01-27,2012-01-30
2196,2012-02-03,2012-02-06
2197,2012-02-10,2012-02-13
2198,2012-02-17,2012-02-20
2199,2012-02-24,2012-02-27
2200,2012-03-02,2012-03-05
2201,2012-03-09,2012-03-12
2202,2012-03-16,2012-03-19
2203,2012-03-23,2012-03-26
2204,2012-03-30,2012-04-02
2205,2012-04-06,2012-04-09
2206,2012-04-13,2012-04-16
2207,2012-04-20,2012-04-23
2208,2012-04-27,2012-04-30
2209,2012-05-04,2012-05-07
2210,2012-05-11,2012-05-14
2211,2012-05-18,2012-05-21
2212,2012-05-25,2012-05-28
2213,2012-06-01,2012-06-04
2214,2012-06-08,2012-06-11
2215,2012-06-15,2012-06-18
2216,2012-06-22,2012-06-25
2217,2012-06-29,2012-07-02
2218,2012-07-06,2012-07-09
2219,2012-07-13,2012-07-16
2220,2012-07-20,2012-07-23
2221,2012-07-27,2012-07-30
2222,2012-08-03,2012-08-06
2223,2012-08-10,2012-08-13
2224,2012-08-17,2012-08-20
2225,2012-08-24,2012-08-27
2226,2012-08-31,2012-09-03
2227,2012-09-07,2012-09-10
2228,2012-09-14,2012-09-17
2229,2012-09-21,2012-09-24
2230,2012-09-28,2012-10-01
2231,2012-10-05,2012-10-08
2232,2012-10-12,2012-10-15
2233,2012-10-19,2012-10-22
2234,2012-10-26,2012-10-29
2235,2012-11-02,2012-11-05
2236,2012-11-09,2012-11-12
2237,2012-11-16,2012-11-19
2238,2012-11-23,2012-11-26
2239,2012-11-30,2012-12-03
2240,2012-12-07,2012-12-10
2241,2012-12-14,2012-12-17
2242,2012-12-21,2012-12-24
2243,2012-12-28,2012-12-31
2244,2013-01-04,2013-01-07
2245,2013-01-11,2013-01-14
2246,2013-01-18,2013-01-21
2247,2013-01-25,2013-01-28
2248,2013-02-01,2013-02-04
2249,2013-02-08,2013-02-11
2250,2013-02-15,2013-02-18
2251,2013-02-22,2013-02-25
2252,2013-03-01,2013-03-04
2253,2013-03-08,2013-03-11
2254,2013-03-15,2013-03-18
2255,2013-03-22,2013-03-25
2256,2013-03-29,2013-04-01
2257,2013-04-05,2013-04-08
2258,2013-04-12,2013-04-15
2259,2013-04-19,2013-04-22
2260,2013-04-26,2013-04-29
2261,2013-05-03,2013-05-06
2262,2013-05-10,2013-05-13
2263,2013-05-17,2013-05-20
2264,2013-05-24,2013-05-27
2265,2013-05-31,2013-06-03
2266,2013-06-07,2013-06-10
2267,2013-06-14,2013-06-17
2268,2013-06-21,2013-06-24
2269,2013-06-28,2013-07-01
2270,2013-07-05,2013-07-08
2271,2013-07-12,2013-07-15
2272,2013-07-19,2013-07-22
2273,2013-07-26,2013-07-29
2274,2013-08-02,2013-08-05
2275,2013-08-09,2013-08-12
2276,2013-08-16,2013-08-19
2277,2013-08-23,2013-08-26
2278,2013-08-30,2013-09-02
2279,2013-09-06,2013-09-09
2280,2013-09-13,2013-09-16
2281,2013-09-20,2013-09-23
2282,2013-09-27,2013-09-30
2283,2013-10-04,2013-10-07
2284,2013-10-11,2013-10-14
2285,2013-10-18,2013-10-21
2286,2013-10-25,2013-10-28
2287,2013-11-01,2013-11-04
2288,2013-11-08,2013-11-11
2289,2013-11-15,2013-11-18
2290,2013-11-22,2013-11-25
2291,2013-11-29,2013-12-02
2292,2013-12-06,2013-12-09
2293,2013-12-13,2013-12-16
2294,2013-12-20,2013-12-23
2295,2013-12-27,2013-12-30
2296,2014-01-03,2014-01-06
2297,2014-01-10,2014-01-13
2298,2014-01-17,2014-01-20
2299,2014-01-24,2014-01-27
2300,2014-01-31,2014-02-03
2301,2014-02-07,2014-02-10
2302,2014-02-14,2014-02-17
2303,2014-02-21,2014-02-24
2304,2014-02-28,2014-03-03
2305,2014-03-07,2014-03-10
2306,2014-03-14,2014-03-17
2307,2014-03-21,2014-03-24
2308,2014-03-28,2014-03-31
2309,2014-04-04,2014-04-07
2310,2014-04-11,2014-04-14
2311,2014-04-18,2014-04-21
2312,2014-04-25,2014-04-28
2313,2014-05-02,2014-05-05
2314,2014-05-09,2014-05-12
2315,2014-05-16,2014-05-19
2316,2014-05-23,2014-05-26
2317,2014-05-30,2014-06-02
2318,2014-06-06,2014-06-09
2319,2014-06-13,2014-06-16
2320,2014-06-20,2014-06-23
2321,2014-06-27,2014-06-30
2322,2014-07-04,2014-07-07
2323,2014-07-11,2014-07-14
2324,2014-07-18,2014-07-21
2325,2014-07-25,2014-07-28
2326,2014-08-01,2014-08-04
2327,2014-08-08,2014-08-11
2328,2014-08-15,2014-08-18
2329,2014-08-22,2014-08-25
2330,2014-08-29,2014-09-01
2331,2014-09-05,2014-09-08
2332,2014-09-12,2014-09-15
2333,2014-09-19,2014-09-22
2334,2014-09-26,2014-09-29
2335,2014-10-03,2014-10-06
2336,2014-10-10,2014-10-13
2337,2014-10-17,2014-10-20
2338,2014-10-24,2014-10-27
2339,2014-10-31,2014-11-03
2340,2014-11-07,2014-11-10
2341,2014-11-14,2014-11-17
2342,2014-11-21,2014-11-24
2343,2014-11-28,2014-12-01
2344,2014-12-05,2014-12-08
2345,2014-12-12,2014-12-15
2346,2014-12-19,2014-12-22
2347,2014-12-26,2014-12-29
2348,2015-01-02,2015-01-05
2349,2015-01-09,2015-01-12
2350,2015-01-16,2015-01-19
2351,2015-01-23,2015-01-26
2352,2015-01-30,2015-02-02
2353,2015-02-06,2015-02-09
2354,2015-02-13,2015-02-16
2355,2015-02-20,2015-02-23
2356,2015-02-27,2015-03-02
2357,2015-03-06,2015-03-09
2358,2015-03-13,2015-03-16
2359,2015-03-20,2015-03-23
2360,2015-03-27,2015-03-30
2361,2015-04-03,2015-04-06
2362,2015-04-10,2015-04-13
2363,2015-04-17,2015-04-20
2364,2015-04-24,2015-04-27
2365,2015-05-01,2015-05-04
2366,2015-05-08,2015-05-11
2367,2015-05-15,2015-05-18
2368,2015-05-22,2015-05-25
2369,2015-05-29,2015-06-01
2370,2015-06-05,2015-06-08
2371,2015-06-12,2015-06-15
2372,2015-06-19,2015-06-22
2373,2015-06-26,2015-06-29
2374,2015-07-03,2015-07-06
2375,2015-07-10,2015-07-13
2376,2015-07-17,2015-07-20
2377,2015-07-24,2015-07-27
2378,2015-07-31,2015-08-03
2379,2015-08-07,2015-08-10
2380,2015-08-14,2015-08-17
2381,2015-08-21,2015-08-24
2382,2015-08-28,2015-08-31
2383,2015-09-04,2015-09-07
2384,2015-09-11,2015-09-14
2385,2015-09-18,2015-09-21
2386,2015-09-25,2015-09-28
2387,2015-10-02,2015-10-05
2388,2015-10-09,2015-10-12
2389,2015-10-16,2015-10-19
2390,2015-10-23,2015-10-26
2391,2015-10-30,2015-11-02
2392,2015-11-06,2015-11-09
2393,2015-11-13,2015-11-16
2394,2015-11-20,2015-11-23
2395,2015-11-27,2015-11-30
2396,2015-12-04,2015-12-07
2397,2015-12-11,2015-12-14
2398,2015-12-18,2015-12-21
2399,2015-12-25,2015-12-28
2400,2016-01-01,2016-01-04
2401,2016-01-08,2016-01-11
2402,2016-01-15,2016-01-18
2403,2016-01-22,2016-01-25
2404,2016-01-29,2016-02-01
2405,2016-02-05,2016-02-08
2406,2016-02-12,2016-02-15
2407,2016-02-19,2016-02-22
2408,2016-02-26,2016-02-29
2409,2016-03-04,2016-03-07
2410,2016-03-11,2016-03-14
2411,2016-03-18,2016-03-21
2412,2016-03-25,2016-03-28
2413,2016-04-01,2016-04-04
2414,2016-04-08,2016-04-11
2415,2016-04-15,2016-04-18
2416,2016-04-22,2016-04-25
2417,2016-04-29,2016-05-02
2418,2016-05-06,2016-05-09
2419,2016-05-13,2016-05-16
2420,2016-05-20,2016-05-23
2421,2016-05-27,2016-05-30
2422,2016-06-03,2016-06-06
2423,2016-06-10,2016-06-13
2424,2016-06-17,2016-06-20
2425,2016-06-24,2016-06-27
2426,2016-07-01,2016-07-04
2427,2016-07-08,2016-07-11
2428,2016-07-15,2016-07-18
2429,2016-07-22,2016-07-25
2430,2016-07-29,2016-08-01
2431,2016-08-05,2016-08-08
2432,2016-08-12,2016-08-15
2433,2016-08-19,2016-08-22
2434,2016-08-26,2016-08-29
2435,2016-09-02,2016-09-05
2436,2016-09-09,2016-09-12
2437,2016-09-16,2016-09-19
2438,2016-09-23,2016-09-26
2439,2016-09-30,2016-10-03
2440,2016-10-07,2016-10-10
2441,2016-10-14,2016-10-17
2442,2016-10-21,2016-10-24
2443,2016-10-28,2016-10-31
2444,2016-11-04,2016-11-07
2445,2016-11-11,2016-11-14
2446,2016-11-18,2016-11-21
2447,2016-11-25,2016-11-28
2448,2016-12-02,2016-12-05
2449,2016-12-09,2016-12-12
2450,2016-12-16,2016-12-19
2451,2016-12-23,2016-12-26
2452,2016-12-30,2017-01-02
2453,2017-01-06,2017-01-09
2454,2017-01-13,2017-01-16
2455,2017-01-20,2017-01-23
2456,2017-01-27,2017-01-30
2457,2017-02-03,2017-02-06
2458,2017-02-10,2017-02-13
2459,2017-02-17,2017-02-20
2460,2017-02-24,2017-02-27
2461,2017-03-03,2017-03-06
2462,2017-03-10,2017-03-13
2463,2017-03-17,2017-03-20
2464,2017-03-24,2017-03-27
2465,2017-03-31,2017-04-03
2466,2017-04-07,2017-04-10
2467,2017-04-14,2017-04-17
2468,2017-04-21,2017-04-24
2469,2017-04-28,2017-05-01
2470,2017-05-05,2017-05-08
2471,2017-05-12,2017-05-15
2472,2017-05-19,2017-05-22
2473,2017-05-26,2017-05-29
2474,2017-06-02,2017-06-05
2475,2017-06-09,2017-06-12
2476,2017-06-16,2017-06-19
2477,2017-06-23,2017-06-26
2478,2017-06-30,2017-07-03
2479,2017-07-07,2017-07-10
2480,2017-07-14,2017-07-17
2481,2017-07-21,2017-07-24
2482,2017-07-28,2017-07-31
2483,2017-08-04,2017-08-07
2484,2017-08-11,2017-08-14
2485,2017-08-18,2017-08-21
2486,2017-08-25,2017-08-28
2487,2017-09-01,2017-09-04
2488,2017-09-08,2017-09-11
2489,2017-09-15,2017-09-18
2490,2017-09-22,2017-09-25
2491,2017-09-29,2017-10-02
2492,2017-10-06,2017-10-09
2493,2017-10-13,2017-10-16
2494,2017-10-20,2017-10-23
2495,2017-10-27,2017-10-30
2496,2017-11-03,2017-11-06
2497,2017-11-10,2017-11-13
2498,2017-11-17,2017-11-20
2499,2017-11-24,2017-11-27
2500,2017-12-01,2017-12-04
2501,2017-12-08,2017-12-11
2502,2017-12-15,2017-12-18
2503,2017-12-22,2017-12-25
2504,2017-12-29,2018-01-01
2505,2018-01-05,2018-01-08
2506,2018-01-12,2018-01-15
2507,2018-01-19,2018-01-22
2508,2018-01-26,2018-01-29
2509,2018-02-02,2018-02-05
2510,2018-02-09,2018-02-12
2511,2018-02-16,2018-02-19
2512,2018-02-23,2018-02-26
2513,2018-03-02,2018-03-05
2514,2018-03-09,2018-03-12
2515,2018-03-16,2018-03-19
2516,2018-03-23,2018-03-26
2517,2018-03-30,2018-04-02
2518,2018-04-06,2018-04-09
2519,2018-04-13,2018-04-16
2520,2018-04-20,2018-04-23
2521,2018-04-27,2018-04-30
2522,2018-05-04,2018-05-07
2523,2018-05-11,2018-05-14
