,Fridays,Mondays
588,1981-04-10,1981-04-13
589,1981-04-17,1981-04-20
590,1981-04-24,1981-04-27
591,1981-05-01,1981-05-04
592,1981-05-08,1981-05-11
593,1981-05-15,1981-05-18
594,1981-05-22,1981-05-25
595,1981-05-29,1981-06-01
596,1981-06-05,1981-06-08
597,1981-06-12,1981-06-15
598,1981-06-19,1981-06-22
599,1981-06-26,1981-06-29
600,1981-07-03,1981-07-06
601,1981-07-10,1981-07-13
602,1981-07-17,1981-07-20
603,1981-07-24,1981-07-27
604,1981-07-31,1981-08-03
605,1981-08-07,1981-08-10
606,1981-08-14,1981-08-17
607,1981-08-21,1981-08-24
608,1981-08-28,1981-08-31
609,1981-09-04,1981-09-07
610,1981-09-11,1981-09-14
611,1981-09-18,1981-09-21
612,1981-09-25,1981-09-28
613,1981-10-02,1981-10-05
614,1981-10-09,1981-10-12
615,1981-10-16,1981-10-19
616,1981-10-23,1981-10-26
617,1981-10-30,1981-11-02
618,1981-11-06,1981-11-09
619,1981-11-13,1981-11-16
620,1981-11-20,1981-11-23
621,1981-11-27,1981-11-30
622,1981-12-04,1981-12-07
623,1981-12-11,1981-12-14
624,1981-12-18,1981-12-21
625,1981-12-25,1981-12-28
626,1982-01-01,1982-01-04
627,1982-01-08,1982-01-11
628,1982-01-15,1982-01-18
629,1982-01-22,1982-01-25
630,1982-01-29,1982-02-01
631,1982-02-05,1982-02-08
632,1982-02-12,1982-02-15
633,1982-02-19,1982-02-22
634,1982-02-26,1982-03-01
635,1982-03-05,1982-03-08
636,1982-03-12,1982-03-15
637,1982-03-19,1982-03-22
638,1982-03-26,1982-03-29
639,1982-04-02,1982-04-05
640,1982-04-09,1982-04-12
641,1982-04-16,1982-04-19
642,1982-04-23,1982-04-26
643,1982-04-30,1982-05-03
644,1982-05-07,1982-05-10
645,1982-05-14,1982-05-17
646,1982-05-21,1982-05-24
647,1982-05-28,1982-05-31
648,1982-06-04,1982-06-07
649,1982-06-11,1982-06-14
650,1982-06-18,1982-06-21
651,1982-06-25,1982-06-28
652,1982-07-02,1982-07-05
653,1982-07-09,1982-07-12
654,1982-07-16,1982-07-19
655,1982-07-23,1982-07-26
656,1982-07-30,1982-08-02
657,1982-08-06,1982-08-09
658,1982-08-13,1982-08-16
659,1982-08-20,1982-08-23
660,1982-08-27,1982-08-30
661,1982-09-03,1982-09-06
662,1982-09-10,1982-09-13
663,1982-09-17,1982-09-20
664,1982-09-24,1982-09-27
665,1982-10-01,1982-10-04
666,1982-10-08,1982-10-11
667,1982-10-15,1982-10-18
668,1982-10-22,1982-10-25
669,1982-10-29,1982-11-01
670,1982-11-05,1982-11-08
671,1982-11-12,1982-11-15
672,1982-11-19,1982-11-22
673,1982-11-26,1982-11-29
674,1982-12-03,1982-12-06
675,1982-12-10,1982-12-13
676,1982-12-17,1982-12-20
677,1982-12-24,1982-12-27
678,1982-12-31,1983-01-03
679,1983-01-07,1983-01-10
680,1983-01-14,1983-01-17
681,1983-01-21,1983-01-24
682,1983-01-28,1983-01-31
683,1983-02-04,1983-02-07
684,1983-02-11,1983-02-14
685,1983-02-18,1983-02-21
686,1983-02-25,1983-02-28
687,1983-03-04,1983-03-07
688,1983-03-11,1983-03-14
689,1983-03-18,1983-03-21
690,1983-03-25,1983-03-28
691,1983-04-01,1983-04-04
692,1983-04-08,1983-04-11
693,1983-04-15,1983-04-18
694,1983-04-22,1983-04-25
695,1983-04-29,1983-05-02
696,1983-05-06,1983-05-09
697,1983-05-13,1983-05-16
698,1983-05-20,1983-05-23
699,1983-05-27,1983-05-30
700,1983-06-03,1983-06-06
701,1983-06-10,1983-06-13
702,1983-06-17,1983-06-20
703,1983-06-24,1983-06-27
704,1983-07-01,1983-07-04
705,1983-07-08,1983-07-11
706,1983-07-15,1983-07-18
707,1983-07-22,1983-07-25
708,1983-07-29,1983-08-01
709,1983-08-05,1983-08-08
710,1983-08-12,1983-08-15
711,1983-08-19,1983-08-22
712,1983-08-26,1983-08-29
713,1983-09-02,1983-09-05
714,1983-09-09,1983-09-12
715,1983-09-16,1983-09-19
716,1983-09-23,1983-09-26
717,1983-09-30,1983-10-03
718,1983-10-07,1983-10-10
719,1983-10-14,1983-10-17
720,1983-10-21,1983-10-24
721,1983-10-28,1983-10-31
722,1983-11-04,1983-11-07
723,1983-11-11,1983-11-14
724,1983-11-18,1983-11-21
725,1983-11-25,1983-11-28
726,1983-12-02,1983-12-05
727,1983-12-09,1983-12-12
728,1983-12-16,1983-12-19
729,1983-12-23,1983-12-26
730,1983-12-30,1984-01-02
731,1984-01-06,1984-01-09
732,1984-01-13,1984-01-16
733,1984-01-20,1984-01-23
734,1984-01-27,1984-01-30
735,1984-02-03,1984-02-06
736,1984-02-10,1984-02-13
737,1984-02-17,1984-02-20
738,1984-02-24,1984-02-27
739,1984-03-02,1984-03-05
740,1984-03-09,1984-03-12
741,1984-03-16,1984-03-19
742,1984-03-23,1984-03-26
743,1984-03-30,1984-04-02
744,1984-04-06,1984-04-09
745,1984-04-13,1984-04-16
746,1984-04-20,1984-04-23
747,1984-04-27,1984-04-30
748,1984-05-04,1984-05-07
749,1984-05-11,1984-05-14
750,1984-05-18,1984-05-21
751,1984-05-25,1984-05-28
752,1984-06-01,1984-06-04
753,1984-06-08,1984-06-11
754,1984-06-15,1984-06-18
755,1984-06-22,1984-06-25
756,1984-06-29,1984-07-02
757,1984-07-06,1984-07-09
758,1984-07-13,1984-07-16
759,1984-07-20,1984-07-23
760,1984-07-27,1984-07-30
761,1984-08-03,1984-08-06
762,1984-08-10,1984-08-13
763,1984-08-17,1984-08-20
764,1984-08-24,1984-08-27
765,1984-08-31,1984-09-03
766,1984-09-07,1984-09-10
767,1984-09-14,1984-09-17
768,1984-09-21,1984-09-24
769,1984-09-28,1984-10-01
770,1984-10-05,1984-10-08
771,1984-10-12,1984-10-15
772,1984-10-19,1984-10-22
773,1984-10-26,1984-10-29
774,1984-11-02,1984-11-05
775,1984-11-09,1984-11-12
776,1984-11-16,1984-11-19
777,1984-11-23,1984-11-26
778,1984-11-30,1984-12-03
779,1984-12-07,1984-12-10
780,1984-12-14,1984-12-17
781,1984-12-21,1984-12-24
782,1984-12-28,1984-12-31
783,1985-01-04,1985-01-07
784,1985-01-11,1985-01-14
785,1985-01-18,1985-01-21
786,1985-01-25,1985-01-28
787,1985-02-01,1985-02-04
788,1985-02-08,1985-02-11
789,1985-02-15,1985-02-18
790,1985-02-22,1985-02-25
791,1985-03-01,1985-03-04
792,1985-03-08,1985-03-11
793,1985-03-15,1985-03-18
794,1985-03-22,1985-03-25
795,1985-03-29,1985-04-01
796,1985-04-05,1985-04-08
797,1985-04-12,1985-04-15
798,1985-04-19,1985-04-22
799,1985-04-26,1985-04-29
800,1985-05-03,1985-05-06
801,1985-05-10,1985-05-13
802,1985-05-17,1985-05-20
803,1985-05-24,1985-05-27
804,1985-05-31,1985-06-03
805,1985-06-07,1985-06-10
806,1985-06-14,1985-06-17
807,1985-06-21,1985-06-24
808,1985-06-28,1985-07-01
809,1985-07-05,1985-07-08
810,1985-07-12,1985-07-15
811,1985-07-19,1985-07-22
812,1985-07-26,1985-07-29
813,1985-08-02,1985-08-05
814,1985-08-09,1985-08-12
815,1985-08-16,1985-08-19
816,1985-08-23,1985-08-26
817,1985-08-30,1985-09-02
818,1985-09-06,1985-09-09
819,1985-09-13,1985-09-16
820,1985-09-20,1985-09-23
821,1985-09-27,1985-09-30
822,1985-10-04,1985-10-07
823,1985-10-11,1985-10-14
